Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
DOWNSLOPE1374 x:0.10 y:0.22 z:1.09 acc:1.12 inst:3.75 dt:7
DOWNSLOPE1378 x:0.10 y:0.22 z:1.09 acc:1.12 inst:3.75 dt:4
DOWNSLOPE1383 x:0.10 y:0.22 z:1.09 acc:1.12 inst:3.74 dt:5
DOWNSLOPE1388 x:0.10 y:0.22 z:1.09 acc:1.12 inst:3.74 dt:5
DOWNSLOPE1393 x:0.10 y:0.22 z:1.09 acc:1.12 inst:3.74 dt:5
DOWNSLOPE1399 x:0.09 y:0.24 z:1.09 acc:1.12 inst:3.73 dt:6
DOWNSLOPE1403 x:0.09 y:0.24 z:1.09 acc:1.12 inst:3.73 dt:4
DOWNSLOPE1408 x:0.09 y:0.24 z:1.09 acc:1.12 inst:3.73 dt:5
DOWNSLOPE1414 x:0.09 y:0.24 z:1.09 acc:1.12 inst:3.72 dt:6
DOWNSLOPE1419 x:0.09 y:0.24 z:1.09 acc:1.12 inst:3.72 dt:5
DOWNSLOPE1424 x:0.05 y:0.19 z:1.07 acc:1.08 inst:3.72 dt:5
DOWNSLOPE1429 x:0.05 y:0.19 z:1.07 acc:1.08 inst:3.71 dt:5
DOWNSLOPE1434 x:0.05 y:0.19 z:1.07 acc:1.08 inst:3.71 dt:5
DOWNSLOPE1439 x:0.05 y:0.19 z:1.07 acc:1.08 inst:3.71 dt:5
DOWNSLOPE1444 x:0.05 y:0.19 z:1.07 acc:1.08 inst:3.70 dt:5
DOWNSLOPE1449 x:0.04 y:0.19 z:1.07 acc:1.09 inst:3.70 dt:5
