Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
1143 x:0.12 y:0.19 z:1.07 acc:1.09 inst:3.90 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1154 x:0.10 y:0.18 z:1.06 acc:1.08 inst:3.90 dt:11 timee:4000 pComp:0.85 iComp:0.27 dComp:0.00 FF:0.40 PID:1.54
1163 x:0.10 y:0.18 z:1.06 acc:1.08 inst:3.89 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1173 x:0.09 y:0.21 z:1.06 acc:1.09 inst:3.88 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1182 x:0.09 y:0.21 z:1.06 acc:1.09 inst:3.88 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1192 x:0.09 y:0.21 z:1.06 acc:1.09 inst:3.87 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1202 x:0.09 y:0.24 z:1.06 acc:1.09 inst:3.87 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1211 x:0.09 y:0.24 z:1.06 acc:1.09 inst:3.86 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1221 x:0.09 y:0.24 z:1.06 acc:1.09 inst:3.85 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1230 x:0.09 y:0.24 z:1.06 acc:1.09 inst:3.85 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
