C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


58500ms, 585.00RPM, 392.78avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.42] z[1.39] mag[1.46] 29.98 degrees
59000ms, 560.00RPM, 394.19avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.46] z[1.32] mag[1.40] 25.30 degrees
59500ms, 590.00RPM, 395.84avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.11] y[0.39] z[1.36] mag[1.42] 29.12 degrees
60000ms, 595.00RPM, 397.50avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.44] z[1.35] mag[1.42] 26.97 degrees
60500ms, 570.00RPM, 398.93avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.39] z[1.37] mag[1.43] 29.80 degrees
61000ms, 575.00RPM, 400.37avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.42] z[1.40] mag[1.46] 30.11 degrees
61500ms, 560.00RPM, 401.67avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.43] z[1.36] mag[1.43] 27.86 degrees
62000ms, 580.00RPM, 403.10avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.42] z[1.33] mag[1.40] 26.77 degrees
62500ms, 570.00RPM, 404.44avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.44] z[1.38] mag[1.45] 28.80 degrees
63000ms, 600.00RPM, 405.99avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.42] z[1.41] mag[1.48] 30.78 degrees
63500ms, 570.00RPM, 407.28avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.01] y[0.44] z[1.36] mag[1.43] 27.66 degrees
64000ms, 590.00RPM, 408.71avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.39] z[1.31] mag[1.37] 26.57 degrees
64500ms, 590.00RPM, 410.12avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.43] z[1.39] mag[1.46] 29.51 degrees
65000ms, 570.00RPM, 411.35avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.44] z[1.36] mag[1.43] 27.56 degrees
65500ms, 610.00RPM, 412.86avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.41] z[1.45] mag[1.50] 32.56 degrees
66000ms, 570.00RPM, 414.05avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.00] y[0.41] z[1.36] mag[1.42] 28.63 degrees
66500ms, 600.00RPM, 415.45avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.45] z[1.35] mag[1.43] 27.16 degrees
67000ms, 570.00RPM, 416.60avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.43] z[1.41] mag[1.47] 30.21 degrees
67500ms, 570.00RPM, 417.74avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.09] y[0.37] z[1.31] mag[1.36] 26.73 degrees
68000ms, 605.00RPM, 419.12avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.47] z[1.37] mag[1.44] 27.20 degrees
68500ms, 580.00RPM, 420.29avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.45] z[1.31] mag[1.39] 24.77 degrees
69000ms, 590.00RPM, 421.52avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.42] z[1.27] mag[1.34] 23.24 degrees
69500ms, 580.00RPM, 422.66avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.41] z[1.30] mag[1.36] 25.39 degrees
70000ms, 570.00RPM, 423.71avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.09] y[0.45] z[1.34] mag[1.41] 26.32 degrees
70500ms, 590.00RPM, 424.89avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.43] z[1.32] mag[1.39] 25.80 degrees
71000ms, 590.00RPM, 426.06avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.39] z[1.29] mag[1.35] 25.15 degrees
71500ms, 605.00RPM, 427.31avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.39] z[1.38] mag[1.43] 29.82 degrees
72000ms, 575.00RPM, 428.33avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.44] z[1.35] mag[1.42] 27.31 degrees
72500ms, 580.00RPM, 429.38avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.42] z[1.33] mag[1.40] 26.88 degrees
73000ms, 580.00RPM, 430.41avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.10] y[0.44] z[1.28] mag[1.36] 23.43 degrees
73500ms, 575.00RPM, 431.39avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.43] z[1.41] mag[1.47] 30.10 degrees
74000ms, 570.00RPM, 432.33avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.41] z[1.36] mag[1.42] 28.52 degrees
74500ms, 560.00RPM, 433.19avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.43] z[1.43] mag[1.49] 31.02 degrees
75000ms, 560.00RPM, 434.03avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.40] z[1.35] mag[1.41] 28.16 degrees
75500ms, 560.00RPM, 434.87avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.40] z[1.42] mag[1.48] 31.55 degrees
76000ms, 560.00RPM, 435.69avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.45] z[1.36] mag[1.43] 27.51 degrees
76500ms, 590.00RPM, 436.70avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.46] z[1.32] mag[1.40] 25.14 degrees
77000ms, 570.00RPM, 437.56avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.46] z[1.31] mag[1.39] 24.78 degrees
77500ms, 570.00RPM, 438.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.40] z[1.25] mag[1.31] 22.61 degrees
78000ms, 585.00RPM, 439.36avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.43] z[1.32] mag[1.39] 25.69 degrees
78500ms, 625.00RPM, 440.54avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.47] z[1.36] mag[1.44] 27.05 degrees
79000ms, 570.00RPM, 441.36avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.46] z[1.33] mag[1.41] 25.52 degrees
79500ms, 595.00RPM, 442.33avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.01] y[0.45] z[1.39] mag[1.46] 28.86 degrees
80000ms, 600.00RPM, 443.31avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.42] z[1.37] mag[1.43] 28.56 degrees
80500ms, 590.00RPM, 444.22avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.37] z[1.40] mag[1.45] 31.63 degrees
81000ms, 570.00RPM, 445.00avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.10] y[0.41] z[1.33] mag[1.40] 27.14 degrees
81500ms, 580.00RPM, 445.83avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.42] z[1.36] mag[1.42] 28.17 degrees
82000ms, 580.00RPM, 446.65avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.45] z[1.35] mag[1.42] 26.62 degrees
82500ms, 550.00RPM, 447.27avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.47] z[1.33] mag[1.42] 25.58 degrees
83000ms, 560.00RPM, 447.95avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.44] z[1.41] mag[1.47] 29.85 degrees
83500ms, 580.00RPM, 448.74avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.11] y[0.47] z[1.37] mag[1.46] 27.43 degrees
84000ms, 590.00RPM, 449.58avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.40] z[1.39] mag[1.45] 30.17 degrees
84500ms, 580.00RPM, 450.36avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.46] z[1.38] mag[1.46] 28.49 degrees
85000ms, 560.00RPM, 451.00avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.48] z[1.42] mag[1.50] 29.56 degrees
85500ms, 570.00RPM, 451.70avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.11] y[0.48] z[1.28] mag[1.37] 22.58 degrees
86000ms, 580.00RPM, 452.44avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.46] z[1.31] mag[1.39] 24.53 degrees
86500ms, 605.00RPM, 453.32avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.40] z[1.33] mag[1.39] 27.19 degrees
