Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1241 acc:1.09 inst:1.50 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.09 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1250 acc:1.09 inst:1.50 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1260 acc:1.09 inst:1.50 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1270 acc:1.10 inst:1.51 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1279 acc:1.10 inst:1.51 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1289 acc:1.09 inst:1.52 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1299 acc:1.09 inst:1.52 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1308 acc:1.09 inst:1.52 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1318 acc:1.08 inst:1.53 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.09 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1327 acc:1.08 inst:1.53 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1337 acc:1.08 inst:1.53 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1347 acc:1.08 inst:1.54 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.09 BRK_EN:DIS MTR_EN:YES
