Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
0.00 
5000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
1353 x:0.13 y:0.23 z:1.14 acc:1.18 inst:3.76 dt:9 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1363 x:0.10 y:0.22 z:1.10 acc:1.13 inst:3.76 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1373 x:0.10 y:0.22 z:1.10 acc:1.13 inst:3.75 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1382 x:0.10 y:0.22 z:1.10 acc:1.13 inst:3.75 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1392 x:0.07 y:0.21 z:1.09 acc:1.11 inst:3.74 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1401 x:0.07 y:0.21 z:1.09 acc:1.11 inst:3.73 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1410 x:0.08 y:0.14 z:1.12 acc:1.13 inst:3.73 dt:9 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1421 x:0.08 y:0.14 z:1.12 acc:1.13 inst:3.72 dt:11 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1430 x:0.08 y:0.14 z:1.12 acc:1.13 inst:3.71 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1440 x:0.10 y:0.12 z:1.13 acc:1.14 inst:3.71 dt:10 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1449 x:0.10 y:0.12 z:1.13 acc:1.14 inst:3.70 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1460 x:0.08 y:0.15 z:1.11 acc:1.12 inst:3.69 dt:11 timee:4000 pComp:0.77 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
